 
 
E/N (Td)	Townsend attach. coef. eta/N (m2)
0.4662E+05	0.2290E-23
0.4748E+05	0.2309E-23
0.4835E+05	0.2329E-23
0.4923E+05	0.2350E-23
0.5014E+05	0.2372E-23
0.5105E+05	0.2395E-23
0.5199E+05	0.2419E-23
0.5294E+05	0.2445E-23
0.5391E+05	0.2471E-23
0.5490E+05	0.2499E-23
0.5591E+05	0.2527E-23
0.5693E+05	0.2557E-23
0.5797E+05	0.2587E-23
0.5904E+05	0.2619E-23
0.6012E+05	0.2652E-23
0.6122E+05	0.2685E-23
0.6234E+05	0.2720E-23
0.6348E+05	0.2755E-23
0.6465E+05	0.2792E-23
0.6583E+05	0.2830E-23
0.6704E+05	0.2869E-23
0.6827E+05	0.2909E-23
0.6952E+05	0.2949E-23
0.7079E+05	0.2991E-23
0.7209E+05	0.3034E-23
0.7341E+05	0.3078E-23
0.7475E+05	0.3123E-23
0.7612E+05	0.3170E-23
0.7752E+05	0.3217E-23
0.7894E+05	0.3265E-23
0.8039E+05	0.3315E-23
0.8186E+05	0.3366E-23
0.8336E+05	0.3418E-23
0.8489E+05	0.3471E-23
0.8644E+05	0.3525E-23
0.8803E+05	0.3580E-23
0.8964E+05	0.3637E-23
0.9128E+05	0.3695E-23
0.9295E+05	0.3754E-23
0.9466E+05	0.3814E-23
0.9639E+05	0.3876E-23
0.9816E+05	0.3939E-23
0.9996E+05	0.4003E-23
0.1018E+06	0.4069E-23
0.1037E+06	0.4136E-23
0.1056E+06	0.4204E-23
0.1075E+06	0.4274E-23
0.1095E+06	0.4345E-23
0.1115E+06	0.4418E-23
0.1135E+06	0.4492E-23
0.1156E+06	0.4567E-23
0.1177E+06	0.4645E-23
0.1199E+06	0.4723E-23
0.1221E+06	0.4803E-23
0.1243E+06	0.4885E-23
0.1266E+06	0.4969E-23
0.1289E+06	0.5054E-23
0.1313E+06	0.5141E-23
0.1337E+06	0.5229E-23
0.1361E+06	0.5319E-23
0.1386E+06	0.5411E-23
0.1411E+06	0.5505E-23
0.1437E+06	0.5601E-23
0.1464E+06	0.5698E-23
0.1490E+06	0.5798E-23
0.1518E+06	0.5899E-23
0.1546E+06	0.6002E-23
0.1574E+06	0.6107E-23
0.1603E+06	0.6214E-23
0.1632E+06	0.6324E-23
0.1662E+06	0.6435E-23
0.1692E+06	0.6549E-23
0.1723E+06	0.6664E-23
0.1755E+06	0.6782E-23
0.1787E+06	0.6902E-23
0.1820E+06	0.7024E-23
0.1853E+06	0.7149E-23
0.1887E+06	0.7276E-23
0.1922E+06	0.7406E-23
0.1957E+06	0.7537E-23
0.1993E+06	0.7672E-23
0.2029E+06	0.7809E-23
0.2067E+06	0.7948E-23
0.2104E+06	0.8090E-23
0.2143E+06	0.8235E-23
0.2182E+06	0.8383E-23
0.2222E+06	0.8533E-23
0.2263E+06	0.8686E-23
0.2305E+06	0.8842E-23
0.2347E+06	0.9001E-23
0.2390E+06	0.9163E-23
0.2434E+06	0.9327E-23
0.2478E+06	0.9495E-23
0.2524E+06	0.9666E-23
0.2570E+06	0.9841E-23
0.2617E+06	0.1002E-22
0.2665E+06	0.1020E-22
0.2714E+06	0.1038E-22
0.2763E+06	0.1057E-22
0.2814E+06	0.1076E-22
0.2866E+06	0.1096E-22
0.2918E+06	0.1115E-22
0.2972E+06	0.1136E-22
0.3026E+06	0.1156E-22
0.3081E+06	0.1177E-22
0.3138E+06	0.1198E-22
0.3195E+06	0.1220E-22
0.3254E+06	0.1242E-22
0.3314E+06	0.1265E-22
0.3374E+06	0.1288E-22
0.3436E+06	0.1311E-22
0.3499E+06	0.1335E-22
0.3563E+06	0.1359E-22
0.3629E+06	0.1384E-22
0.3695E+06	0.1409E-22
0.3763E+06	0.1435E-22
0.3832E+06	0.1461E-22
0.3902E+06	0.1487E-22
0.3973E+06	0.1515E-22
0.4046E+06	0.1542E-22
0.4120E+06	0.1570E-22
0.4196E+06	0.1599E-22
0.4273E+06	0.1628E-22
0.4351E+06	0.1658E-22
0.4431E+06	0.1688E-22
0.4512E+06	0.1719E-22
0.4595E+06	0.1750E-22
0.4679E+06	0.1782E-22
0.4765E+06	0.1814E-22
0.4852E+06	0.1847E-22
0.4941E+06	0.1881E-22
0.5031E+06	0.1915E-22
0.5124E+06	0.1950E-22
0.5217E+06	0.1986E-22
0.5313E+06	0.2022E-22
0.5410E+06	0.2059E-22
0.5510E+06	0.2097E-22
0.5610E+06	0.2135E-22
0.5713E+06	0.2174E-22
0.5818E+06	0.2214E-22
0.5925E+06	0.2254E-22
0.6033E+06	0.2295E-22
0.6144E+06	0.2337E-22
0.6256E+06	0.2380E-22
0.6371E+06	0.2424E-22
0.6488E+06	0.2468E-22
0.6607E+06	0.2513E-22
0.6728E+06	0.2559E-22
0.6851E+06	0.2606E-22
0.6976E+06	0.2653E-22
0.7104E+06	0.2702E-22
0.7234E+06	0.2751E-22
0.7367E+06	0.2802E-22
0.7502E+06	0.2853E-22
0.7639E+06	0.2905E-22
0.7779E+06	0.2958E-22
0.7922E+06	0.3012E-22
0.8067E+06	0.3067E-22
0.8215E+06	0.3123E-22
0.8366E+06	0.3181E-22
0.8519E+06	0.3239E-22
0.8675E+06	0.3298E-22
0.8834E+06	0.3358E-22
0.8996E+06	0.3420E-22
0.9161E+06	0.3482E-22
0.9329E+06	0.3546E-22
0.9499E+06	0.3611E-22
0.9674E+06	0.3677E-22
0.9851E+06	0.3744E-22
0.1003E+07	0.3813E-22
0.1022E+07	0.3883E-22
0.1040E+07	0.3954E-22
0.1059E+07	0.4026E-22
0.1079E+07	0.4100E-22
0.1098E+07	0.4175E-22
0.1119E+07	0.4251E-22
0.1139E+07	0.4329E-22
0.1160E+07	0.4409E-22
0.1181E+07	0.4489E-22
0.1203E+07	0.4572E-22
0.1225E+07	0.4655E-22
0.1247E+07	0.4740E-22
0.1270E+07	0.4827E-22
0.1293E+07	0.4916E-22
0.1317E+07	0.5006E-22
0.1341E+07	0.5097E-22
0.1366E+07	0.5191E-22
0.1391E+07	0.5286E-22
0.1416E+07	0.5383E-22
0.1442E+07	0.5481E-22
0.1469E+07	0.5582E-22
0.1496E+07	0.5684E-22
0.1523E+07	0.5788E-22
0.1551E+07	0.5894E-22
0.1579E+07	0.6002E-22
0.1608E+07	0.6112E-22
0.1638E+07	0.6224E-22
0.1668E+07	0.6338E-22
0.1698E+07	0.6454E-22
0.1730E+07	0.6572E-22
0.1761E+07	0.6692E-22
0.1794E+07	0.6815E-22
0.1826E+07	0.6940E-22
0.1860E+07	0.7067E-22
0.1894E+07	0.7196E-22
0.1929E+07	0.7328E-22
0.1964E+07	0.7463E-22
0.2000E+07	0.7599E-22

 
 
